Paste volume per aperture,Stencil thickness,Paste viscosity,Ambient RH,Ambient temperature,mech causes,root causes,board_number,hour_of_day,stencil_batch,Defect_Probability,Defect
0.04086394270886572,102.94721814215487,195.0301453993111,45.068970749123245,20.47855794072233,,,0,6.0,0,0.0,No Defect
0.03959276192231294,103.91712978247585,235.625979648363,37.25390594769202,20.265386557854004,,,1,6.003125,0,0.0,No Defect
0.039193970346048004,100.84869311146858,199.37985560502426,38.752159269926814,22.052457415103678,,,2,6.00625,0,0.0,No Defect
0.03902200449045213,99.96185913113652,191.48859074893187,41.37076144689693,21.76944598124289,,,3,6.009375,0,0.0,No Defect
0.042549225867617196,104.51405285835297,177.1756552073596,41.92899296993272,22.51481113738406,,,4,6.0125,0,0.0,No Defect
0.04019292939822106,100.95022441537125,180.5855282045154,43.57740458430002,21.804833183303856,,,5,6.015625,0,0.0,No Defect
0.038953442261790906,103.62993398730174,240.45108112704145,32.798469669521765,21.27154084458828,,,6,6.01875,0,0.0,No Defect
0.037876567511387925,100.40771172189746,207.6403937308831,29.636322893873476,24.200055940037426,,Ambient RH low,7,6.021875,0,0.0,No Defect
0.04128442649290409,103.76445119915972,192.59911595139098,40.28669990960367,22.039720888054077,,,8,6.025,0,0.0,No Defect
0.03874796368979693,100.40319879340689,207.86682088801365,43.369569258468715,20.182736269660133,,,9,6.028125,0,0.0,No Defect
0.0405636843257264,102.31594579180886,184.78315394836486,40.304526235012325,22.508137372398732,,,10,6.03125,0,0.0,No Defect
0.04161979010250559,102.77805281299104,171.0709010709303,43.41519025535144,22.451352900889834,,,11,6.034375,0,0.0,No Defect
0.039166564740398355,101.17782378174807,196.20542058567722,34.80344633122939,23.408504860393343,,,12,6.0375,0,0.0,No Defect
0.04235892953130552,104.51641150499076,187.09422841021527,46.2555828492481,20.647462910839035,,,13,6.040625,0,0.0,No Defect
0.04062858103901873,104.88711879854193,222.1196990347951,38.51155165057104,20.74403925696202,,,14,6.04375,0,0.0,No Defect
